Level,Propagation,Budget,Max Depth,Total Expanded Nodes,Total generated nodes,Time passed,Expanded nodes/second,Score
1,MAX,10,17,6091,13696,59.629690,102.147102,272,
1,MAX,10,23,9656,21072,94.871591,101.779678,251,
1,MAX,10,18,4284,9598,42.217372,101.474815,198,
1,MAX,100,26,92354,200863,91.761763,1006.454072,273,
1,MAX,100,39,87588,192122,87.537473,1000.577204,291,
1,MAX,100,39,133013,287780,132.590224,1003.188591,235,
1,MAX,1000,53,840070,1858701,84.127181,9985.714367,276,
1,MAX,1000,39,705069,1562520,71.072304,9920.446648,313,
1,MAX,1000,36,737077,1626563,73.628067,10010.815577,369,
1,MAX,2000,49,1322049,2864590,73.315820,18032.247338,254,
1,MAX,2000,38,1332032,2908268,72.534835,18364.031572,318,
1,MAX,2000,35,802043,1738510,43.874727,18280.296080,172,
1,AVG,10,17,6649,14759,65.859546,100.957270,249,
1,AVG,10,20,8075,17766,80.287334,100.576263,334,
1,AVG,10,14,5844,12757,57.846561,101.025885,276,
1,AVG,100,25,75030,162914,74.583073,1005.992338,282,
1,AVG,100,23,77702,172174,76.803043,1011.704706,91,
1,AVG,100,23,66000,143826,65.275325,1011.101821,82,
1,AVG,1000,32,883005,1969502,87.376094,10105.796215,123,
1,AVG,1000,30,537009,1207117,53.156016,10102.506554,88,
1,AVG,1000,39,408017,912410,40.913560,9972.659431,87,
1,AVG,2000,39,1616057,3601398,90.653415,17826.763614,163,
1,AVG,2000,26,1788119,4018630,102.677885,17414.840596,77,
1,AVG,2000,37,1680085,3749461,94.242143,17827.321690,156,
2,MAX,10,18,5461,11795,54.810000,99.635103,427,
2,MAX,10,14,2676,6011,26.665207,100.355493,204,
2,MAX,10,18,6293,13820,62.716562,100.340322,279,
2,MAX,100,29,67600,151310,66.687339,1013.685671,340,
2,MAX,100,28,55300,124496,54.599494,1012.829899,272,
2,MAX,100,44,48914,110355,48.460700,1009.353971,335,
2,MAX,1000,45,636096,1442062,64.456215,9868.652697,443,
2,MAX,1000,32,521006,1171262,51.778681,10062.172113,359,
2,MAX,1000,46,643009,1442906,63.858192,10069.326736,360,
2,MAX,2000,32,1068007,2386539,58.722292,18187.420205,379,
2,MAX,2000,46,1586028,3535226,89.856816,17650.614284,479,
2,MAX,2000,40,1194086,2692269,67.172655,17776.370459,243,
2,AVG,10,17,7250,15918,71.757320,101.034988,292,
2,AVG,10,17,3836,8467,38.252447,100.281166,137,
2,AVG,10,16,3773,8386,37.655931,100.196699,257,
2,AVG,100,43,35823,78180,36.649896,977.437971,138,
2,AVG,100,34,59579,131044,59.630364,999.138627,234,
2,AVG,100,40,49224,110216,48.939988,1005.803271,206,
2,AVG,1000,32,537000,1224890,53.066753,10119.330271,122,
2,AVG,1000,24,404018,921319,40.280355,10030.149933,191,
2,AVG,1000,35,912002,2025043,90.323652,10097.045235,192,
2,AVG,2000,30,1178011,2666773,67.528108,17444.750562,174,
2,AVG,2000,19,288010,645337,17.337136,16612.317052,29,
2,AVG,2000,28,882042,2008694,50.056407,17620.961089,195,
3,MAX,10,19,8948,20085,88.763834,100.806822,366,
3,MAX,10,19,4407,9679,43.596189,101.086817,233,
3,MAX,10,25,10796,24105,106.943723,100.950291,476,
3,MAX,100,32,96606,213677,95.690899,1009.563093,389,
3,MAX,100,25,92407,203716,91.472254,1010.218902,334,
3,MAX,100,36,105371,230536,104.699094,1006.417496,428,
3,MAX,1000,50,2148084,4651774,213.826575,10045.916884,689,
3,MAX,1000,26,772000,1728091,76.339911,10112.665706,365,
3,MAX,1000,42,820000,1822322,81.039866,10118.476751,268,
3,MAX,2000,47,2128049,4681244,117.192531,18158.571897,398,
3,MAX,2000,42,2244121,5002090,130.501369,17196.149107,422,
3,MAX,2000,41,2138031,4706473,119.713662,17859.540543,413,
3,AVG,10,14,7496,16714,74.393743,100.761162,349,
3,AVG,10,15,6440,14359,63.652066,101.175035,397,
3,AVG,10,12,5888,13150,58.358835,100.893035,182,
3,AVG,100,21,72834,163193,72.777712,1000.773424,180,
3,AVG,100,17,37301,82358,36.939068,1009.798082,69,
3,AVG,100,41,110072,244995,109.672815,1003.639781,375,
3,AVG,1000,30,552001,1214537,54.672646,10096.474936,150,
3,AVG,1000,24,503000,1086767,49.574232,10146.400251,144,
3,AVG,1000,22,478003,1046635,47.507296,10061.675579,95,
3,AVG,2000,20,1048013,2301352,57.790534,18134.682749,115,
3,AVG,2000,25,1590039,3521043,87.577218,18155.851902,172,
3,AVG,2000,19,1098000,2464439,61.122152,17964.027183,149,
